 Mes  ,Inicio,Fin,Dias,Modelo,Color,Numero de Leads ,Leads por Dia,Ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/29/2026,5/6/2026,8,AION UT,Verde,37, 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayo,5/7/2026,5/12/2026,6,Emkoo,Blanco,43, 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/13/2026,6/6/2026,25,Emzoom,Gris magnetico,71, 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junio ,6/7/2026,6/19/2026,13,GS8,Plata,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/20/2026,6/29/2026,10,Emzoom,Rojo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2026,7/6/2026,7,GS8,Blanca ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio ,7/7/2026,,,Emzoom,Rojo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presupuesto mensual de MKT por canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mes ,"Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 24","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo,26","Junio,26",,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,," $346,790.94 "," $423,573.75 "," $242,750.78 "," $517,105.00 "," $570,803.67 "," $788,379.00 "," $735,500.00 "," $793,172.45 "," $991,000.00 "," $1,140,000.00 "," $820,304.00 "," $1,228,270.00 "," $1,323,767.00 "," $586,466.00 "," $934,131.00 "," $859,317.00 "," $853,876.25 "," $761,245.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,
Plaza,,,,,,,,,,,,,,," $182,000.00 "," $182,000.00 "," $592,000.00 "," $290,000.00 "," $200,000.00 "," $190,000.00 "," $190,000.00 "," $190,000.00 "," $190,000.00 "," $476,334.00 "," $192,700.00 "," $192,700.00 "," $322,700.00 "," $297,700.00 ",,"*Plazas Angelopolis, Tlaxcala pop store y Pachuca",,,,,,,,,,,,,,,,,,,,,,,,,
Leads ,0,0,25,28,68,294,248,52,59,154,280,172,184,275,301,275,355,492,397,312,324,274,325,290,433,401,351,352,403,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventas ,0,0,0,0,0,2,3,0,2,3,7,4,1,3,8,5,13,14,6,15,12,11,9,6,6,7,8,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP Plaza,,,,,,,,,,,,,,, $604.65 , $661.82 ," $1,667.61 ", $589.43 , $503.78 , $608.97 , $586.42 , $693.43 , $584.62 ," $1,642.53 ", $445.03 , $480.55 , $919.37 , $845.74 , $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,
CAC Plaza,,,,,,,,,,,,,,," $22,750.00 "," $36,400.00 "," $45,538.46 "," $20,714.29 "," $33,333.33 "," $12,666.67 "," $15,833.33 "," $17,272.73 "," $21,111.11 "," $79,389.00 "," $32,116.67 "," $27,528.57 "," $40,337.50 "," $42,528.57 ", $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,
